|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  307.026        2565.08        2973.42       0.231209E-004  0.168354E-005   862.486        5.65539        2.71676      -0.130870E+008
  324.038        2565.08        2972.20       0.237599E-004  0.168709E-005   893.107        5.65171        2.71500      -0.130719E+008
  341.051        2565.08        2970.99       0.243320E-004  0.169073E-005   920.549        5.64792        2.71317      -0.130565E+008
  358.064        2565.08        2969.72       0.248467E-004  0.169449E-005   945.290        5.64399        2.71128      -0.130405E+008
  375.077        2565.08        2968.44       0.253128E-004  0.169832E-005   967.750        5.63995        2.70934      -0.130242E+008
  392.090        2565.08        2967.11       0.257368E-004  0.170227E-005   988.239        5.63580        2.70735      -0.130074E+008
  409.103        2565.08        2965.78       0.261248E-004  0.170627E-005   1007.04        5.63157        2.70532      -0.129903E+008
  426.115        2565.08        2964.39       0.264813E-004  0.171039E-005   1024.34        5.62723        2.70323      -0.129728E+008
  443.128        2565.08        2963.03       0.268112E-004  0.171453E-005   1040.37        5.62284        2.70112      -0.129552E+008
  460.141        2565.08        2961.62       0.271172E-004  0.171876E-005   1055.23        5.61837        2.69898      -0.129372E+008
  477.154        2565.08        2960.20       0.274028E-004  0.172306E-005   1069.09        5.61383        2.69680      -0.129189E+008
  494.167        2565.08        2958.74       0.276702E-004  0.172743E-005   1082.04        5.60923        2.69459      -0.129003E+008
  511.179        2565.08        2957.29       0.279220E-004  0.173184E-005   1094.18        5.60458        2.69235      -0.128816E+008
  528.192        2565.08        2955.80       0.281595E-004  0.173634E-005   1105.58        5.59987        2.69009      -0.128626E+008
  545.205        2565.08        2954.32       0.283851E-004  0.174085E-005   1116.35        5.59513        2.68781      -0.128435E+008
